x,y,v
515387,2092262,273
516187,2092262,259
517012,2092262,218
517812,2092262,248
518612,2092262,285
519412,2092262,284
520212,2092262,284
521037,2092262,273
521837,2092262,303
522637,2092262,349
523437,2092262,327
524262,2092262,364
525062,2092262,354
525862,2092262,391
526662,2092262,376
527462,2092262,380
528287,2092262,409
529087,2092262,362
529887,2092262,388
530687,2092262,403
504112,2091437,280
504912,2091437,224
505737,2091437,249
506537,2091437,273
507337,2091437,304
508137,2091437,323
508937,2091437,321
509762,2091437,303
510562,2091437,287
511362,2091437,252
512162,2091437,237
512987,2091437,262
513787,2091437,307
514587,2091437,294
515387,2091437,246
516187,2091437,219
517012,2091437,250
517812,2091437,264
518612,2091437,254
519412,2091437,284
520212,2091437,300
521037,2091437,329
521837,2091437,335
522637,2091437,354
523437,2091437,359
524262,2091437,368
525062,2091437,367
525862,2091437,351
526662,2091437,383
527462,2091437,410
528287,2091437,434
529087,2091437,405
529887,2091437,414
530687,2091437,416
504112,2090612,243
504912,2090612,223
505737,2090612,247
506537,2090612,260
507337,2090612,265
508137,2090612,278
508937,2090612,300
509762,2090612,281
510562,2090612,260
511362,2090612,282
512162,2090612,316
512987,2090612,314
513787,2090612,303
514587,2090612,280
515387,2090612,238
516187,2090612,249
517012,2090612,275
517812,2090612,291
518612,2090612,282
519412,2090612,292
520212,2090612,296
521037,2090612,310
521837,2090612,344
522637,2090612,351
523437,2090612,348
524262,2090612,335
525062,2090612,340
525862,2090612,338
526662,2090612,366
527462,2090612,390
528287,2090612,434
529087,2090612,452
529887,2090612,467
530687,2090612,385
504112,2089787,242
504912,2089787,227
505737,2089787,198
506537,2089787,258
507337,2089787,272
508137,2089787,231
508937,2089787,245
509762,2089787,221
510562,2089787,259
511362,2089787,296
512162,2089787,311
512987,2089787,286
513787,2089787,262
514587,2089787,261
515387,2089787,275
516187,2089787,260
517012,2089787,239
517812,2089787,252
518612,2089787,255
519412,2089787,291
520212,2089787,346
521037,2089787,299
521837,2089787,301
522637,2089787,333
523437,2089787,320
524262,2089787,338
525062,2089787,371
525862,2089787,378
526662,2089787,394
527462,2089787,379
528287,2089787,422
529087,2089787,438
529887,2089787,457
530687,2089787,430
504112,2088962,271
504912,2088962,254
505737,2088962,252
506537,2088962,234
507337,2088962,207
508137,2088962,243
508937,2088962,248
509762,2088962,279
510562,2088962,277
511362,2088962,302
512162,2088962,280
512987,2088962,272
513787,2088962,253
514587,2088962,257
515387,2088962,280
516187,2088962,296
517012,2088962,311
517812,2088962,304
518612,2088962,325
519412,2088962,341
520212,2088962,331
521037,2088962,320
521837,2088962,355
522637,2088962,340
523437,2088962,333
524262,2088962,354
525062,2088962,364
525862,2088962,390
526662,2088962,425
527462,2088962,415
528287,2088962,418
529087,2088962,438
529887,2088962,418
530687,2088962,406
504112,2088137,269
504912,2088137,274
505737,2088137,262
506537,2088137,215
507337,2088137,219
508137,2088137,257
508937,2088137,231
509762,2088137,201
